precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ofertado_como,ciudad,zona,provincia,dpto
72500.0,4.0,2.0,,2021,2.0,82.5,,-17.746,-63.153,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
72900.0,10.0,2.0,228.0,2023,3.0,106.0,,-17.673,-63.173,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
73000.0,6.0,2.0,,2022,3.0,83.7,,-17.716,-63.187,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
73000.0,8.0,2.0,437.0,2018,3.0,115.0,,-17.75,-62.981,Casa,En Venta,Cotoca,AV. SIN NOMBRE, Andrés Ibáñez, Santa Cruz
72800.0,6.0,2.0,300.0,2022,3.0,107.0,,-17.677,-63.193,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
74000.0,3.0,1.0,44.24,2023,1.0,44.24,,-17.764,-63.174,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
74000.0,4.0,2.0,815.0,2019,2.0,815.0,20.0,-17.726,-63.17,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
74250.0,4.0,1.0,,2022,1.0,55.0,1.0,-17.762,-63.2,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
74250.0,4.0,1.0,,2022,1.0,55.0,1.0,-17.762,-63.2,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
74520.0,,2.0,,2023,2.0,82.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
74520.0,,2.0,,2023,2.0,82.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
74520.0,,2.0,,2023,2.0,82.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
75000.0,10.0,2.0,333.75,2010,7.0,137.0,3.0,-17.84,-63.204,Casa,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
75000.0,7.0,2.0,400.97,2017,3.0,200.0,,-17.653,-63.167,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,5.0,2.0,360.0,2020,2.0,91.66,4.0,-17.9,-63.317,Casa,En Venta,La guardia,"Barrio la Victoria, Municipio la Guardia Distrito", Andrés Ibáñez, Santa Cruz
75000.0,13.0,3.0,300.0,2003,6.0,245.0,,-17.748,-62.989,Casa,En Venta,Cotoca,Los Tajibos, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,240.0,2022,3.0,120.0,2.0,-17.675,-63.19,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,240.0,2022,3.0,120.0,2.0,-17.675,-63.19,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,240.0,2022,3.0,120.0,2.0,-17.675,-63.19,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,240.0,2022,3.0,120.0,2.0,-17.675,-63.19,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,240.0,2022,3.0,120.0,2.0,-17.675,-63.19,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,1.0,390.74,2013,3.0,100.0,,-17.854,-63.201,Casa,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,247.5,2010,3.0,165.0,,-17.662,-63.167,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,4.0,1.0,86.0,2016,2.0,86.0,1.0,-17.812,-63.221,Departamento,En Venta,Santa Cruz de la Sierra,Oeste, Andrés Ibáñez, Santa Cruz
75000.0,3.0,2.0,52.0,2019,1.0,52.0,1.0,-17.797,-63.177,Departamento,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
75000.0,,2.0,366.0,2019,3.0,120.0,,-17.845,-63.245,Casa,En Venta,Santa Cruz de la Sierra,Sureste, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,250.0,2015,3.0,142.0,,-17.608,-63.094,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,1.0,,2016,1.0,44.1,,-17.763,-63.185,Estudio/Monoambiente,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,5.0,2.0,,2016,2.0,79.0,,-17.787,-63.215,Departamento,En Venta,Santa Cruz de la Sierra,Oeste, Andrés Ibáñez, Santa Cruz
75000.0,6.0,2.0,,2021,2.0,79.0,1.0,-17.683,-63.159,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,367.0,2021,3.0,173.0,2.0,-17.89,-63.313,Casa,En Venta,La guardia,, Andrés Ibáñez, Santa Cruz
75000.0,,3.0,,2006,3.0,95.27,,-17.799,-63.215,Departamento,En Venta,Santa Cruz de la Sierra,Suroeste, Andrés Ibáñez, Santa Cruz
75000.0,6.0,2.0,366.0,2008,3.0,190.0,,-17.76,-62.993,Casa,En Venta,Cotoca,Las Vegas No. 8, Andrés Ibáñez, Santa Cruz
75250.0,,3.0,,2022,4.0,115.0,,-17.765,-63.035,Casa,En Venta,Santa Cruz de la Sierra,Oeste, Andrés Ibáñez, Santa Cruz
75592.0,,2.0,,2024,2.0,77.93,,-17.765,-63.174,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75925.0,,2.0,,2025,2.0,61.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75925.0,,2.0,,2025,2.0,61.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75925.0,,2.0,,2025,2.0,61.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
75925.0,,2.0,,2025,2.0,61.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
